ccf_id,control_domain,control_name,control_description,control_theme,control_type,policy_standard,implementation_guidance,testing_procedure,audit_artifacts
MDM-04,Mobile Device Management,Configuration Management: High Risk Travel Locations,"Organization has a documented list of travel locations considered high risk for the use of mobile devices (i.e., laptops, smartphones, tablets). Employees procure alternate equipment before traveling to these locations.",Process,Preventive,Mobile Device Policy,"1. Ensure that a process is defined and documented for handling travel to high-risk locations.

2. Ensure that a documented list of travel locations considered to be high risk for the use of mobile devices is maintained. 

3. Ensure alternate equipment is provided to employees before traveling to these locations.","1. Inspect and validate that a process is defined and documented for handling travel to high-risk locations.

2. Validate the list of travel locations considered to be high risk for the use of mobile devices 

3. Validate the process for providing alternate equipment to employees before traveling to these locations.","E-MDM-06

E-MDM-03" 
NO-01,Network Operations,Network Policy Enforcement Points,Network traffic to and from untrusted networks passes through a policy enforcement point; firewall rules are established in accordance with identified security requirements and business justifications.,Technology,Preventive,Network Security Standard,"1. Ensure that necessary process and documentation are established for network traffic management.

2. Ensure necessary requirements are defined for managing network traffic to and from untrusted networks in the policy.

3. Ensure firewall rules are established to determine specific configuration requirements have been documented for network devices within the policy.","1. Inspect Network Security Policy and/or Standard to determine whether requirements have been defined for managing network traffic to and from untrusted networks.

2. Review firewall rules to ensure they are defined according to the requirements of the organization.","E-NO-01
E-NO-02" 
NO-02,Network Operations,Inbound and Outbound Network Traffic: DMZ Requirements,Network traffic to and from untrusted networks passes through a Demilitarized Zone (DMZ).,Technology,Preventive,Network Security Standard,"1. Ensure necessary requirements are defined which outlines the use of a DMZ and firewalls must be used wherever necessary to enforce perimeter security between separate networks in the policy.

2. Ensure DMZ is enabled and configured within the network traffic.","1. Inspect Network Security Policy and/or Standard documents to determine whether requirements have been defined that outlines the use of a DMZ and firewalls must be used wherever necessary to enforce perimeter security between separate networks.

2. Observe a sample of network security rules or firewall rulesets and confirm that the DMZ or DMZ equivalents are operating in the rulesets.","E-NO-01
E-NO-03" 
NO-03,Network Operations,Ingress and Egress Points,"Organization maintains an inventory of ingress and egress points on the production network and performs the following for each: 
 inventory is reduced to the minimum possible level
 permitted ports, protocols and services are inventoried and validated
 documents security features that are implemented for insecure protocols",Process,Preventive,Network Security Standard,"1. Ensure a process is maintained for inventory of ingress and egress points on the production network

2. Ensure network security rules are defined and established with the following: 
 permitted ports, protocols and services are inventoried and validated
 documented security features that are implemented for insecure protocols","1. Observe the inventory of ingress and egress points on the production network.

2. Observe network security rules and validate to ensure no insecure ports, protocols, and services are present.

3. If applicable, for any insecure ports, protocols, and services, ensure that additional security features are in place.","E-NO-04
E-NO-05" 
NO-04,Network Operations,Non-disclosure of Routing Information,Organization does not disclose private IP addresses and routing information to unauthorized parties.,Technology,Preventive,Network Security Standard,1. Ensure necessary requirements are defined that prohibits the disclosure of private IP addresses and routing information to unauthorized parties in the policy.,"1. Inspect Network Security Policy and/or Standard documents to determine whether requirements have been defined that prohibits the disclosure of private IP addresses and routing information to unauthorized parties.

2. Review the configuration to determine the non-disclosure of private IP Addresses and Network Address Translation.","E-NO-01
E-NO-07" 
NO-05,Network Operations,Dynamic Packet Filtering,"Where applicable, Organization enables dynamic packet filtering on the network.",Technology,Preventive,Network Security Standard,"1. Ensure that Network Security Policy/Standard specifies when to use dynamic packet filtering on the network.

2.Ensure dynamic packet filtering is turned on applicable systems.","1. Inspect Network Security Policy and/or Standard documents to determine whether requirements have been defined that outlines that dynamic packet filtering on the network should be enabled when applicable.

2. For a sample of applicable systems review the configurations for the devices and ensure that dynamic packet filtering has been enabled.","E-NO-01

E-NO-06" 
NO-06,Network Operations,Firewall Rule Set Review,Network infrastructure rule sets are reviewed every 6 months.,Process,Detective,Network Security Standard,"1. Ensure that a process is defined and documented for performing Network Infrastructure rules every six months. 

2. Ensure network infrastructure rules are reviewed and appropriate documentation is maintained for this review.",1 Observe the Network infrastructure rules review documentation and verify that it was last reviewed within the last 6 months.,E-NO-08 
NO-07,Network Operations,Ingress and Egress Points: Fail Secure,"The information system fails securely in the event of an operational failure of a boundary protection device.
",Technology,Preventive,Network Security Standard,"1. Ensure that appropriate fail safe procedures are defined for network boundary protection devices.

2. Ensure all network systems are configured to fail securely in the event of an operational failure.","1. Inspect Network Security Policy/Standard to determine whether requirements have been defined that outlines that in the event of an operation failure that information systems fail securely.

2. For a sample of applicable systems review the configurations for the devices and confirm that in the event of failure that the systems will fail securely.","E-NO-01

E-NO-09" 
NO-08,Network Operations,Traffic Flow: Managed Proxy,Organization requires egress traffic initiated from within the Organization network to pass through a managed proxy.,Technology,Preventive,Network Security Standard,"1. Ensure that a process is defined and documented so that all egress traffic from within the organization passes through a proxy.

2.Ensure that proxy servers have been deployed on application systems for the filtering of traffic.","1. Inspect documentation to determine whether requirements have been defined that outlines that all egress traffic initiated from within the Organization's network passes through a managed proxy.

2. For a sample of applicable systems review the architecture and ensure that all egress traffic from within the network is passed through the managed proxy.","E-NO-01

E-NO-10" 
NO-09,Network Operations,Domain Name Services Security Extensions (DNSSec),Organization establishes a DNSSec implementation standard and uses mechanisms to verify the DNS infrastructure for compliance.,Process,Preventive,Network Security Standard,"1. Ensure that a process is defined and documented for a DNSSec implementation.

2. Ensure appropriate mechanism are in place to validate DNS infrastructure for compliance.","1. Inspect documentation to determine whether requirements have been defined that outlines a DNSSec implementation.

2. Review a sample of DNS infrastructure used and ensure that they are following the DNSSec implementation requirements.","E-NO-01

E-NO-11" 
NO-10,Network Operations,Email Spam Protection,"Organization has documented procedures and protection mechanisms in place to protect its information and information systems from spam and ensures that signature definitions are updated whenever new releases are available.
",Process,Preventive,Network Security Standard,"1. Ensure that a process is defined and documented to ensure spam protection on emails. 

2. Ensure that appropriate controls are deployed to prevent spam from emails.

3. Ensure that spam signature definitions are updated when new releases are available.","1. Inspect the documentation to ensure a process is defined for spam protection.

2. For a sample of applicable systems such as mail servers ensure that anti-spam filters are enabled and are updated to the most recent version possible.","E-NO-01

E-NO-12" 
NO-11,Network Operations,Denial of Service (DOS),"Organization implements a Denial of Service (DOS) protection plan, identifies threatening DOS attacks, and configures boundary protection devices according to the DOS plan.",Process,Preventive,Network Security Standard,"1. Ensure a process is defined and documented to prevent from Denial of Service (DoS) attacks.

2. Ensure that boundary protection devices are configured as per the process to enable Denial of Service Attack Protection.","1. Inspect documentation to determine whether requirements have been defined that outlines that a Denial of Service (DoS) protection plan.

2. For a sample of applicable system ensure that configuration aligns with the Denial of Service Protection Plan.","E-NO-01

E-NO-23" 
NO-12,Network Operations,Trusted Connections,"All trusted connections are documented and approved by authorized personnel; management ensures the following documentation is in place prior to approval: 
 agreement with vendor
 security requirements
 nature of transmitted information",Process,Preventive,Network Security Standard,"1. Ensure that a process is defined and documented for managing trusted connections.

2. Ensure that all trusted connections are documented and approved by authorized personnel.

3. Ensure that appropriate agreements with vendors exist before establishing trusted connection.","1. Inspect and validate whether a process is defined and documented for managing trusted connections.

2. Validate for a sample trusted connections that it was documented and approved by authorized personnel.

3. Validate whether appropriate agreement with vendors existed before establishing trusted connection.","E-NO-01

E-NO-13" 
NO-13,Network Operations,Network Segmentation,Production environments are logically segregated from non-production environments.,Technology,Preventive,Network Security Standard,"1. Ensure that a process is defined and documented to ensure that production and non-production environments are logically segregated.

2. Ensure that for all systems production and non-production environments are logically segregated and this is reflected via appropriate architecture diagrams.","1. Inspect and validate whether a process is defined and documented to ensure that production and non-production environments are logically segregated.

2. Validate for a sample system whether production and non-production environments are logically segregated.","E-NO-14

E-NO-16" 
NO-14,Network Operations,Card Processing Environment Segmentation,"Where applicable, Organization segregates the Primary Account Number (PAN) infrastructure including payment card collection devices; Organization limits access to the segregated environment to authorized personnel.",Process,Preventive,Network Security Standard,"1. Ensure that a process is defined and documented for segregating PCI Environment from non-PCI environment.

2. Ensure that network segmentation testing is performed on a semi-annual basis.

3. Ensure that the Data flow and architecture diagram is updated periodically and reviewed by required officials.","1. Inspect and validate whether a process is defined and documented for segregating PCI Environment from non-PCI environment.

2. Validate whether network segmentation testing was performed on a semi annual basis.

3. Validate whether the Data flow and architecture diagram were updated periodically and were approved.","E-NO-01

E-NO-15

E-NO-17

E-NO-14" 
NO-15,Network Operations,Traffic Flow,"Organization documents the approved traffic flow at each managed interface and configures the managed interface accordingly. Exceptions to traffic flow are documented, reviewed periodically, and removed when there is no longer a business requirement.",Process,Preventive,Network Security Standard,"1. Ensure a process is defined and documented for managing traffic flow at each interface.

2. Ensure all managed interfaces are configured as per the approved traffic flow.

3. Ensure all exceptions are documented, reviewed periodically, and removed when there is no longer a business requirement. ","1. Inspect and validate whether a process is defined and documented for managing traffic flow at each interface.

2. Validate for a sample of managed interface that it is configured as per the approved traffic flow.

3. Validate for a sample of exceptions whether they were documented, reviewed periodically, and removed when there was no longer a business requirement. ","E-NO-01

E-NO-18

E-SG-04" 
NO-16,Network Operations,Disable Rogue Wireless Access Points,Organization employs mechanisms to detect and disable the use of unauthorized wireless access points.,Technology,Detective,Network Security Standard,"1. Ensure a process is defined and documented to detect unauthorized wireless access points.

2. Ensure network monitoring software is in place to identify unauthorized wireless access points send alerts to the appropriate personnel.

3. Ensure that alerts are regularly reviewed, and if necessary, actions are taken to fix any issues.","1. Inspect and validate that a process is defined and documented to detect unauthorized wireless access points.

2. Validate the configuration of network monitoring software to check if it detects unauthorized wireless access points send alerts to the appropriate personnel.

3. Validate sample alerts and inspect whether they were reviewed, and if necessary, actions were taken to fix any issues.","E-NO-01

E-NO-19

E-NO-20" 
NO-17,Network Operations,Wireless Access Points,Organization maintains an inventory of authorized wireless access points including a documented business justification.,Process,Preventive,Network Security Standard,1. Ensure that a formal inventory of authorized wireless access points is documented which includes information of the function of the wireless point and its business justification.,"1. Inspect and validate that an inventory of authorized wireless points is maintained.

2. Validate that the inventory contains the business need and the function of each wireless access point","E-NO-01

E-NO-21" 
NO-18,Network Operations,Authentication: Wireless Access Points,Organization restricts access to network services via wireless access points to authenticated users and services; approved wireless encryption protocols are required for wireless connections.,Technology,Preventive,Network Security Standard,"1. Ensure that a process is defined and documented to restrict access to network services via wireless access points to authenticated users and services

2. Ensure Approved wireless encryption protocols are required for wireless connections.","1. Inspect and validate that a process is defined and documented to restrict access to network services via wireless access points to authenticated users and services

2. Validate whether approved wireless encryption protocols are required for wireless connections.","E-NO-01

E-NO-22" 
PR-01,People Resources,Background Checks,New hires are required to pass a background check as a condition of their employment.,Process,Preventive,Human Resource Policy,"1. Ensure that a process is defined and documented to conduct background checks for new hires.

2. Ensure that a background check is completed prior to the hire date for all new hires.","1. Inspect documentation to validate whether requirements for background checks have been defined. 

2 For a sample of new hires, validate that background checks defined in the policy were performed prior to their hire date.","E-PR-01

E-PR-02" 
PR-02,People Resources,Performance Management,Organization has established a check-in performance management process for on-going dialogue between managers and employees. Quarterly reminders are sent to managers to perform their regular check-in conversation.,Process,Preventive,Human Resource Policy,"1. Document and maintain a check-in performance management process for on-going dialogue between managers and employees.

2. Ensure reminders are sent to managers on a quarterly basis for performing regular check-in.","1. Inspect relevant documentation to validate whether a process regarding check-in performance management has been defined.

2. For a sample of quarters, inspect the mail communication to determine whether quarterly reminders are sent to managers to perform their regular check-in conversation.","E-PR-01

E-PR-03" 
PR-03,People Resources,Hiring Process,Job candidates apply for roles that are listed on the Organization career portal; candidates are interviewed to determine their knowledge and competence for their prospective roles and compatibility with Organization values.,Process,Preventive,Human Resource Policy,"1. Ensure that a process is defined and documented that outlines the requirements for hiring of employees.

2. Ensure all job roles are posted on career portal for application.

3. Ensure appropriate hiring process is followed to determine competence before hiring.","1. Inspect and validate that a process is defined and documented that outlines the requirements for hiring of employees.

2. Validate sample job roles and check if they are posted on career portal for application.

3. For sample employees validate the hiring process followed and evaluate whether it was according to the policy.","E-PR-01

E-PR-04

E-PR-05" 
PR-04,People Resources,Organization Property Collection,"Upon employee termination, management is notified to collect Organization property from the terminated employee.
",Process,Preventive,Human Resource Policy,"1. Ensure a process is defined and documented to notify the management in case of employee termination and collect organization property.

2. Ensure termination procedures are followed to collect organization property from the employee.
","1. Inspect the relevant documentation to determine whether a process is defined and documented to notify the management in case of employee termination and collect organization property.

2. For a sample of terminated employees, validate that termination procedures were followed to collect organization property.","E-PR-01

E-PR-06" 
PR-05,People Resources,Exit Interviews,"Upon employee termination, management conducts exit interviews for the terminated employee.",Process,Preventive,Human Resource Policy,"1. Ensure a process is defined and documented to notify the management in case of employee termination and conduct exit interviews

2. Ensure exit interviews are conducted once a user is terminated in HR Management System and relevant stakeholders are involved.

3. Ensure that a record of the interview is retained.","1. Inspect the relevant documentation to determine whether a process is defined and documented to notify the management in case of employee termination and conduct exit interviews

2. Inspect records of the exit interview for terminated employees.

3. For a sample of terminated employees, validate that termination procedures were followed including the performance of an exit interview. ","E-PR-01

E-PR-07" 
PR-06,People Resources,Disciplinary Process,Employees that fail to comply with Organization policies are subject to a disciplinary process.,Process,Corrective,Human Resource Policy,"1. Ensure that a disciplinary process is defined and documented and is appropriately communicated.

2. Ensure that the disciplinary process is followed for all employees violating organizational policies. ","1. Inspect relevant documentation to validate that a disciplinary process is defined and appropriately communicated.

2. Validate that disciplinary process was followed for all employees violating organizational policies. ","E-PR-01
E-PR-08" 
PR-07,People Resources,Code of Ethics,Organization has a Code of Ethics for Senior Officers. The Senior Officers and CEO certify that they understand the Code on an annual basis.,Process,Preventive,Human Resource Policy,"1. Ensure that a Code of Ethics has been established for senior officers and the CEO.

2. Ensure all senior officers and CEO have documented certification of Code of Ethics on an annual basis.","1. Inspect and validate that a Code of ethics is defined and documented for senior officers and CEO.

2. Validate that all senior officers and CEO have documented certification of code of ethics at least annually.","E-PR-09
E-PR-10" 
PR-08,People Resources,Business Ethics Hotline,Organization has a business ethics hotline for employees and external parties to report ethical misconduct. Allegations are investigated and Organization will take appropriate action for confirmed violations. Hotline reports are reported to the Audit Committee on a quarterly basis.,Process,Preventive,Human Resource Policy,"1. Ensure that a process has been defined and documented for reporting ethical misconduct.

2. Ensure that allegations made through the hotline are investigated and appropriate action is taken.

3. Ensure Hotline reports are reported to the Audit Committee on a quarterly basis.","1. Inspect the relevant documentation to validate that a process has been defined and documented for reporting ethical misconduct.

2. Validate that the allegations made through the hotline are investigated and appropriate action is taken for a sample of reports.

3. Validate whether the hotline reports are reported to the Audit Committee on a quarterly basis.","E-PR-01

E-PR-11

E-PR-12" 
PR-09,People Resources,National Security Clearance,"Organization conducts screening and rescreening of authorized personnel for roles that require national security clearances. For national security clearances; a reinvestigation is required during the 5th year for top secret security clearance, the 10th year for secret security clearance, and 15th year for confidential security clearance. In addition, for law enforcement and high impact public trust level, a reinvestigation is required during the 5th year.",Process,Preventive,Human Resource Policy,"1. Document and maintain a process on screening/rescreening or vetting of employees that need national security clearances.

2. Ensure list of roles requiring national security clearances is reviewed and kept up-to-date.

3. Ensure that screening and rescreening of authorized personnel are conducted for roles that require national security clearances.

4. For national security clearances, ensure that rescreening is conducted for the following:
 5th year for top secret security clearance
 10th year for secret security clearance
 15th year for confidential security clearance

5. For law enforcement an high impact public trust level, ensure that an reinvestigation is conducted during the 5th year","1. Inspect relevant documentation and validate that a process on screening/rescreening or vetting of employees that need national security clearances is established.

2. Validate whether a list of roles requiring national security clearances is reviewed and kept up-to-date.

3. Validate for a sample employee requiring National Security Clearance that screening and rescreening was conducted.

4. For sample national security clearances, validate that rescreening was conducted for the following:
 5th year for top secret security clearance
 10th year for secret security clearance
 15th year for confidential security clearance

5. For sample law enforcement and high impact public trust level security clearance, validate that a reinvestigation was conducted during the 5th year.","E-PR-13
E-PR-14
E-PR-15
E-PR-16" 
PR-10,People Resources,Code of Business Conduct,"Organization has documented the Code of Business Conduct and Business Partner Code of Conduct, which are reviewed, updated if applicable, and approved by senior management annually.",Process,Preventive,Human Resource Policy,"1. Ensure that a Code of Business Conduct and Business Partner Code of Conduct is defined, documented, and approved by senior management.

2. Ensure that these documents are reviewed, updated, and approved at least on an annual basis.","1. Inspect and validate that a Code of Business Conduct and Business Partner Code of Conduct is defined, documented, and approved by senior management.

2. Validate that these documents are reviewed, updated, and approved at least on an annual basis.","E-PR-17

E-PR-18" 
PRIV-01,Privacy,Privacy Program,"Organization privacy policies for individuals, including relevant updates, are communicated on the public company website or on the internal corporate network.",Process,Preventive,Privacy Policy,"1. Ensure the organization has created a privacy policy.

2. Ensure the policy is updated and approved on regular intervals.

3. Ensure the policy is communicated and is available for employees and relevant stakeholders.","1. Inspect privacy policies and confirm that the policy is updated.

2. Confirm that anytime the privacy policy is updated, these updates are present on the intranet or public website. ",E-PRIV-01 
PRIV-02,Privacy,Privacy Program Review,"On an annual basis, Organization performs a review of privacy practices to ensure the following:
 consent is obtained for users whose personal information (PI) is managed by Organization
 PI inventory integrity and accuracy
 data access request response template is understandable
 standard agreement templates are up-to-date
 requests to delete, access or update PI are processed accurately and within a timeframe consistent with Organization policy
 compliance with Organization's privacy commitments
 known privacy issues are remediated
 opt-in and opt-out compliance with applicable law
 Organization privacy documentation and practices are relevant to applicable law
 compliance with relevant industry Codes of Conduct (e.g., EDAA)
 if applicable, joint controller responsibilities are clearly defined and communicated to both data controllers and the data subject",Process,Preventive,Privacy Policy,"1. Ensure that the organization has established a privacy program.

2. Ensure that the program is reviewed on at least an annual basis.

3. Ensure that the privacy program contains controls regarding consent, data access requests, modification requests, SLAs, privacy issues, roles and responsibilities.

4. Ensure that agreement templates are reviewed and updated.","1. Collect and inspect the organization's annual privacy review. 

2. Validated that the annual privacy review covers all components.",E-PRIV-02 
PRIV-03,Privacy,Privacy Readiness Review,Organization performs privacy readiness reviews to identify high-risk processing activities that impact personal data; identified non-compliance with Organization privacy practices is tracked through remediation.,Process,Corrective,Privacy Policy,"1. Ensure that a process has been established for privacy readiness reviews.

2. Ensure privacy readiness reviews are conducted for high-risk processing activities.

3. Ensure necessary actions are taken for the remediation of findings from privacy readiness reviews.","1. Inspect privacy readiness reviews and ensure that remediation activities were launched for any non-compliant actions. 

2. Validate that remediation activates were resolved and remediated.",E-PRIV-03 
PRIV-04,Privacy,Privacy Notice,"Individuals are given appropriate notice and an opportunity to consent or decline to Organization privacy practices such as accessing, collecting, processing, transferring, or storing personal information.",Process,Preventive,Data Management Policy,"1. Ensure that a consent notice is established for users regarding privacy guidelines.

2. Ensure that the users have an option to accept or decline the consent.","1. Inspect Data Protection Policy and procedure documents to ensure individuals are given appropriate notice and an opportunity to consent or decline to organization privacy practices such as accessing, collecting, processing, transferring, or storing personal information.",E-PRIV-04 
PRIV-05,Privacy,Personal Information Notice and Consent: Additional Processing Activities,"Where appropriate, Organization obtains individual consent for processing activities for which consent has not been previously obtained.",Process,Preventive,Data Management Policy,"1. Ensure that consent is obtained for processing user data.

2. Ensure that any change in processing activities is followed by an update of consent.",1. Inspect Data Protection Policy and procedure documents to determine whether organization obtains individual consent for processing activities for which consent has not been previously obtained.,E-PRIV-04 
PRIV-06,Privacy,Notice of Personal Information Disclosure,"In accordance with Organization policy, Organization provides notice to individuals regarding legally-required disclosures of personal information.",Process,Detective,Data Management Policy,"1. Ensure that a process is established for disclosing user data in case of legal enquiries.

2. Ensure appropriate notice is provided to the users regarding disclosure of their data.",1. Inspect Organization policy related to disclosure of personal information to determine whether process of providing notice to individuals regarding legally required disclosures of personal information is documented.,E-PRIV-05 
PRIV-07,Privacy,PII Processing Agreements,Personal information is handled and processed in accordance with contractual requirements.,Process,Preventive,Privacy Policy,"1. Ensure that appropriate agreements are established to define PII processing requirements.

2. Ensure all customers sign PII processing agreements.

3. Ensure all PII is handled and processed as per contractual requirements.","1. Inspect and validate that appropriate agreements are established and documented that define PII processing requirements.

2. For a sample customer validate that PII processing agreement has been signed.

3. Validate that all PII is handled and processed as per contractual requirements and the employees are briefed of these requirements.","E-PRIV-06
E-PRIV-07" 
PRIV-08,Privacy,Record of Processing Activity,"Organization documents, reviews, and approves a record of processing activities related to personal information.",Process,Preventive,Privacy Policy,"1. Ensure appropriate process has been established to document and record all processing activities related to Personal Information.

2. Ensure the records of PII processing activities are reviewed periodically as per contractual requirements.

3. Ensure that the record is approved by appropriate personnel. ",1. Inspect a sample of reviews related to processing of personal information and validate that it is approved by the authorized personnel.,E-PRIV-08 
PRIV-09,Privacy,Document Management Standard: HIPAA,"Documentation that impacts personal health information, including policies, procedures, and the documentation of actions, activities, or assessments, are retained for 6 years from the date of its creation, or the date when it last was in effect, whichever is later.",Process,Preventive,Privacy Policy,"1. Ensure that a process is defined and documented for retaining documentation related to personal health information.

2. Ensure that this documentation is retained at least for 6 years from the date of creation or when it was last effective.

3. Ensure this documentation consists of polices and procedures of actions, activities and/or assessments.","1. Validate documented retention configuration is set to at least 6 years for policies, procedures, and assessment for the documents that impacts personal health information.

2. Inspect a sample of documentation going back to the earliest document or at least 6 years. ",E-PRIV-09 
PRIV-10,Privacy,Law Enforcement Requests,Law enforcement agencies may submit requests for evidence; submitted requests are reviewed and tracked to resolution.,Process,Preventive,Incident Management Policy,"1. Ensure a process is defined, documented, and approved for law enforcement agencies to submit evidence requests for investigation.

2. Ensure these requests are appropriately tracked and resolved as per contractual and legal requirements.

3. Ensure any evidence sharing is done via secure methods to avoid unauthorized access to data.

4. Ensure only customer data relevant to the investigation is segregated and submitted if needed.","1. Inspect and validate that a process is defined, documented, and approved for law enforcement agencies to submit evidence requests for investigation.

2. Validate for a sample of requests that they are appropriately tracked and resolved as per contractual and legal requirements.

3. Validate for a sample request whether the evidence sharing was done via secure methods to avoid unauthorized access to data.

4. Validate how customer data relevant to the investigation was segregated and submitted.","E-PRIV-10
E-PRIV-11
E-PRIV-12" 
PS-01,Proactive Security,Endpoint Detection and Response,"Endpoint Detection and Response (EDR) software is deployed to continuously monitor, detect, and respond to cyber threats and patterns of malicious behavior and activity.",Technology,Preventive,Network Security Standard,"1. Deploy Endpoint Detection and Response (EDR) software to continuously monitor, detect, and respond to cyber threats and patterns of malicious behavior and activity.

2. Ensure that the EDR configurations are periodically reviewed.","1. For a sample of endpoints, validate whether Endpoint Detection and Response (EDR) software is installed and continuously monitor, detect, and respond to cyber threats and patterns of malicious behavior and activity.

2. Inspect whether the EDR configurations are reviewed periodically.","E-NO-01

E-PS-01" 
PS-02,Proactive Security,Threat Hunting,"Organization performs threat hunting to identify, track, and disrupt threats that evade existing security controls.",Process,Preventive,Incident Management Policy,"1. Conduct cyber threat hunting activities according to an organization-defined frequency and/or organization-defined event to detect, track, and disrupt threats that evade existing controls.

2. Establish a threat hunting methodology in accordance with the organization's security objectives.

3. Define threat indicator information and effective mitigations.","1. Inspect whether cyber threat hunting activities are performed as per defined frequency to detect, track, and disrupt threats that evade existing controls.

2. Validate whether a threat hunting methodology exists in accordance with the organization's security objectives.

3. Inspect the threat indicator information and effective mitigations.","E-PS-02

E-PS-03" 
PS-03,Proactive Security,Threat Modeling,Organization performs periodic threat modeling to ensure that potential threats are identified and assessed.,Process,Preventive,System Architecture and DesignDocumentation Standard,1. Ensure that an organization performs periodic threat modeling to ensure that potential threats are identified and assessed.,1. Validate whether an organization performs threat modeling periodically to identify and assess potential threats.,E-PS-04 
PS-04,Proactive Security,Adversary Intelligence,Organization gathers intelligence on adversary personas to assist in the prioritization of security activities.,Process,Preventive,Incident Management Policy,1. Establish a process through which an organization gathers intelligence on adversary personas to assist in the prioritization of security activities.,1. Validate whether a process exists through which an organization gathers intelligence on adversary personas to assist in the prioritization of security activities.,E-PS-05 
RM-01,Risk Management,Service Risk Rating Assignment,"Annually, Organization prioritizes the frequency of vulnerability discovery activities based on an assigned service risk rating.",Process,Detective,Risk Management Standard,"1. Ensure Risk management standard is in place and documented which defines the frequency of vulnerability discovery activities based on an assigned service risk rating.

2. Ensure all the identified vulnerabilities are remediated based on the risk rating.","1. Validate that the organization has a defined vulnerability management standard.

2. For a sample of vulnerabilities, test that it was remediated based on risk ranking.","E-RM-01
E-RM-02" 
RM-02,Risk Management,Risk Assessment,Organization management performs an annual risk assessment. Results from risk assessment activities are reviewed to prioritize mitigation of identified risks.,Process,Detective,Risk Management Standard,"1. Ensure Risk Management Standard shall be in place which RM-01 defines the requirements for annual risk assessment.

2. Ensure that the results of risk assessment are reviewed and mitigation is performed on priority.

3. Any identified issues should have a corresponding risk treatment plan or corrective action plan in place. Each issue shall be tracked to completion.","1. Validate that Risk Management Standard is in place and defines the requirements for annual risk assessment.

2. Validate evidence for the review of results of risk assessment and mitigation of risks.

3. Validate that any identified issues were tracked to completion, according to its corresponding risk treatment plan or corrective action plan.
","E-RM-03
E-RM-04
E-RM-05" 
RM-03,Risk Management,Risk Assessment: HIPAA Criteria,"Organization's periodic risk assessment for systems that process, transmit or store Protected Health Information (PHI) includes the following:
 identify and classify assets
 identify threats
 identify vulnerabilities
 identify controls
 perform threat likelihood analysis
 perform threat impact analysis
 identify residual risk
 identify appropriate safeguards",Process,Detective,Risk Management Standard,"1. Ensure risk assessment for systems that process, transmit or store Protected Health Information (PHI) shall be in place and includes the information listed below:
 identify and classify assets
 identify threats
 identify vulnerabilities
 identify controls
 perform threat likelihood analysis
 perform threat impact analysis
 identify residual risk
 identify appropriate safeguards","1. Review Risk Assessment for a sample system that process, transmit or store Protected Health Information (PHI) and validate whether it includes the following:
 identify and classify assets
 identify threats
 identify vulnerabilities
 identify controls
 perform threat likelihood analysis
 perform threat impact analysis
 identify residual risk
 identify appropriate safeguards",E-RM-06 
RM-04,Risk Management,Continuous Monitoring,The design and operating effectiveness of internal controls are continuously evaluated against the established Common Controls Framework by Organization. Corrective actions related to identified deficiencies are tracked to resolution.,Process,Detective,Risk Management Standard,"1. Ensure that a process is defined and documented for the continuous monitoring of internal controls against the common controls framework.

2. Ensure any gaps identified are remediated as per the organization's policy.","1. Validate that a process is defined and documented for the continuous monitoring of internal controls against the common controls framework.

2. For sample gaps validate that they were remediated as per the organization's policy.","E-RM-07
E-RM-08" 
RM-05,Risk Management,Self-Assessments: PCI,"On a quarterly basis, reviews shall be performed with approved documented specification to confirm personnel are following security policies and operational procedures pertaining to:
 daily log reviews
 firewall rule-set reviews
 applying configuration standards to new systems
 responding to security alerts
 change management processes",Process,Preventive,Risk Management Standard,"1. Establish a quarterly process to ensure that the following policies and operational procedures are being reviewed and approved by authorized personnel: 
 daily log reviews
 firewall rule-set reviews
 applying configuration standards to new systems
 responding to security alerts
 change management processes
","1. Inspect whether a process exists for reviewing the following on a quarterly basis:
 daily log reviews
 firewall rule-set reviews
 applying configuration standards to new systems
 responding to security alerts
 change management processes

2. Validate using the last review whether any deviations were noted and if applicable, were tracked till resolution","E-RM-03

E-RM-09" 
RM-06,Risk Management,Internal Audits,Organization establishes internal audit requirements based on the Common Controls Framework by Organization and executes audits on information systems and processes at planned intervals.,Process,Detective,Risk Management Standard,1. Ensure that the organization sets audit rules based on its Common Controls Framework and conducts audits on its information systems and processes at scheduled times,1. Inspect internal and external audit results. ,"E-RM-10

E-RM-11" 
RM-07,Risk Management,ISMS Internal Audit Requirements,Internal audit establishes and executes a plan to evaluate applicable controls in the Information Security Management System (ISMS) at least once every 3 years.,Process,Detective,Risk Management Standard,"1. Ensure that the organization possesses an audit program document that enumerates the particular controls slated for testing within its Information Security Management System (ISMS).

2. Ensure that the outcomes of internal audit for ISMS controls is reviewed on a periodic basis.","1. Inspect audit program document that lists out specific controls to be tested in the ISMS. 

2. Inspect the results of internal audit of ISMS controls and note the cadence of such audits. ","E-RM-12

E-RM-13

E-RM-11" 
RM-08,Risk Management,Remediation Tracking,Management prepares a remediation plan to formally manage the resolution of findings identified in risk assessment activities.,Process,Corrective,Risk Management Standard,"1. Ensure that there is a well-defined and documented remediation plan in place to address and resolve any findings from risk assessment activities.

2. Ensure that the findings identified are resolved within the agreed timeframe.","1. Inspect documentation of remediation plan for any risk assessment activities. 

2. Validate whether the findings created are remediated in the defined timeframe.","E-RM-14

E-RM-03

E-RM-15" 
